prefecture,population
Tokyo,12868000
Kanagawa,8943000
Osaka,8801000
Aichi,7418000
Saitama,7130000
Chiba,6139000
Hyogo,5583000
Hokkaido,5507000
Fukuoka,5053000
Shizuoka,3792000
Ibaraki,2960000
Hiroshima,2863000
Kyoto,2622000
Niigata,2378000
Miyagi,2336000
Nagano,2159000
Gifu,2092000
Fukushima,2040000
Gunma,2007000
Tochigi,2006000
Okayama,1942000
Mie,1870000
Kumamoto,1814000
Kagoshima,1708000
Yamaguchi,1455000
Ehime,1436000
Nagasaki,1430000
Shiga,1405000
Nara,1399000
Okinawa,1382000
Aomori,1379000
Iwate,1340000
Oita,1195000
Yamagata,1179000
Ishikawa,1165000
Miyazaki,1132000
Akita,1096000
Toyama,1095000
Wakayama,1004000
Kagawa,999000
Yamanashi,867000
Saga,852000
Fukui,808000
Tokushima,789000
Kochi,766000
Shimane,718000
Tottori,591000
